SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
,Residencial urbano,Urbano,72735,4,Cuarta Oeste,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,,,,-6.884.331,-3.286.441,"-68,84331-32,86441",582,1.135.633
8va Seccion Aeroparque,Residencial urbano,Urbano,143919,8,Aeroparque,500071004,1587,381,43,470,156,84,492,306,295,166,23,33,0,1360,132,30,0,6,,,,-6.887.007,-3.286.446,"-68,87007-32,86446",600,0
6ta Seccion Residencial Norte,Residencial urbano,Urbano,64834,6,Residencial Norte,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,,,,-6.885.614,-3.287.602,"-68,85614-32,87602",6688,2.331.395
6ta Seccion Residencial Norte,Residencial urbano,Urbano,64834,6,Residencial Norte,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,,,,-6.885.519,-328.762,"-68,85519-32,8762",6727,218.057
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-6.885.683,-3.287.263,"-68,85683-32,87263",2356,568.984
,,,,,,500491106,723,199,8,174,67,34,164,48,157,27,70,177,9,661,40,3,59,120,,,,-6.889.036,-3.286.457,"-68,89036-32,86457",643,0
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-6.885.669,-328.743,"-68,85669-32,8743",6168,608.481
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-688.562,-3.287.275,"-68,8562-32,87275",5544,847.164
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-6.885.638,-3.287.384,"-68,85638-32,87384",2438,737.232
6ta Seccion Residencial Norte,Residencial urbano,Urbano,74107,6,Residencial Norte,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,,,,-6.885.625,-3.287.439,"-68,85625-32,87439",6224,737.802
